Time,Heart Rate
176.484,1.32507
176.998,1.29851
177.506,1.26015
178.01,1.21302
178.515,1.16042
179.024,1.10684
179.54,1.05825
180.062,1.02136
180.588,1.00126
181.113,0.999793
181.629,1.0156
182.136,1.04573
182.637,1.08733
183.136,1.13748
183.637,1.19237
184.143,1.24655
184.654,1.29311
185.169,1.3255
185.689,1.33987
186.213,1.33524
186.729,1.31385
187.236,1.27922
187.74,1.23448
188.243,1.18269
188.748,1.12778
189.26,1.07525
189.778,1.03186
190.3,1.0038
190.824,0.994264
191.343,1.00316
191.851,1.02787
192.352,1.06543
192.85,1.11306
193.349,1.16747
193.852,1.22393
194.359,1.27591
194.869,1.31618
195.384,1.3395
195.905,1.3436
196.423,1.32932
196.932,1.3
197.436,1.259
197.937,1.20929
198.44,1.15424
198.947,1.09864
199.461,1.04887
199.979,1.01194
200.499,0.992683
201.019,0.992564
201.531,1.00996
202.033,1.04184
202.531,1.08539
203.028,1.13776
203.527,1.19502
204.03,1.25145
204.538,1.29974
205.047,1.33314
205.562,1.34787
206.081,1.34307
206.593,1.32108
207.098,1.28549
207.598,1.23943
208.099,1.18588
208.602,1.12876
209.11,1.07369
209.624,1.02777
210.141,0.997503
210.66,0.986222
211.175,0.993971
211.68,1.01817
212.179,1.05583
212.674,1.10423
213.17,1.16024
213.67,1.21921
214.173,1.27449
214.679,1.31842
215.188,1.34525
215.703,1.35242
216.219,1.34036
216.725,1.31232
217.226,1.27177
217.725,1.22167
218.225,1.16519
218.728,1.10688
219.237,1.05313
219.751,1.01138
220.266,0.987202
220.782,0.982657
221.292,0.996678
221.793,1.02626
222.288,1.06855
222.782,1.12084
223.278,1.17962
223.778,1.2395
224.281,1.29307
224.785,1.33276
225.292,1.35388
225.807,1.35483
226.318,1.33712
226.821,1.3044
227.319,1.25995
227.816,1.20663
228.316,1.14792
228.82,1.08895
229.329,1.03679
229.84,0.99884
230.353,0.979707
230.866,0.980477
231.372,0.999289
231.869,1.03303
232.362,1.07898
232.856,1.13438
233.351,1.1953
233.85,1.25567
234.352,1.30755
234.854,1.3437
235.361,1.3603
235.873,1.35649
236.38,1.33459
236.88,1.29833
237.377,1.25085
237.873,1.19498
238.372,1.13449
238.876,1.07507
239.384,1.02425
239.893,0.98926
240.404,0.973874
240.914,0.978505
241.416,1.00078
241.911,1.03762
242.402,1.08639
242.895,1.14425
243.39,1.20691
243.888,1.26775
244.388,1.31843
244.888,1.35209
245.393,1.36554
245.903,1.35845
246.407,1.33363
246.905,1.29484
247.4,1.24509
247.896,1.18721
248.394,1.12521
248.897,1.0652
249.404,1.01509
249.91,0.981898
250.419,0.968842
250.926,0.975903
251.425,1.00043
251.918,1.03937
252.409,1.09018
252.9,1.14996
253.394,1.21416
253.892,1.27575
254.39,1.3261
254.887,1.35856
255.39,1.37034
255.898,1.3614
256.4,1.33487
256.896,1.29447
257.389,1.24315
257.884,1.18372
258.382,1.12033
258.884,1.05937
259.389,1.00903
259.893,0.97629
260.399,0.964066
260.904,0.972144
261.401,0.997738
261.892,1.03782
262.382,1.08991
262.872,1.15112
263.366,1.21679
263.862,1.27963
264.358,1.33073
264.852,1.36343
265.353,1.37508
265.859,1.36575
266.359,1.33866
266.853,1.29757
267.346,1.24537
267.839,1.18484
268.336,1.12011
268.837,1.0577
269.34,1.00604
269.841,0.972281
270.345,0.959332
270.848,0.966991
271.344,0.992468
271.834,1.03271
272.322,1.08528
272.811,1.14741
273.304,1.21448
273.799,1.27916
274.293,1.33222
274.784,1.3667
275.282,1.37985
275.786,1.37162
276.284,1.34515
276.777,1.30429
277.269,1.25197
277.761,1.19084
278.257,1.12487
278.756,1.06051
279.258,1.00637
279.756,0.970061
280.257,0.954768
280.759,0.960503
281.254,0.984618
281.743,1.02397
282.23,1.07616
282.718,1.13857
283.209,1.20688
283.703,1.2739
284.195,1.33015
284.684,1.36799
